3700 step, loss = 320.923, accuracy = 0.980
3710 step, loss = 806.487, accuracy = 0.970
3720 step, loss = 780.234, accuracy = 0.950
3730 step, loss = 421.896, accuracy = 0.970
3740 step, loss = 355.179, accuracy = 0.980
3750 step, loss = 594.092, accuracy = 0.980
3760 step, loss = 421.747, accuracy = 0.980
3770 step, loss = 478.534, accuracy = 0.960
3780 step, loss = 512.240, accuracy = 0.960
3790 step, loss = 635.006, accuracy = 0.970
3800 step, loss = 1401.106, accuracy = 0.930
3810 step, loss = 571.811, accuracy = 0.980
3820 step, loss = 386.363, accuracy = 0.980
3830 step, loss = 98.548, accuracy = 0.990
3840 step, loss = 1124.461, accuracy = 0.960
3850 step, loss = 240.344, accuracy = 0.980
3860 step, loss = 371.305, accuracy = 0.960
3870 step, loss = 798.994, accuracy = 0.950
3880 step, loss = 448.420, accuracy = 0.990
3890 step, loss = 285.556, accuracy = 0.970
3900 step, loss = 814.011, accuracy = 0.960
3910 step, loss = 627.665, accuracy = 0.930
3920 step, loss = 251.065, accuracy = 0.970
3930 step, loss = 558.193, accuracy = 0.970
3940 step, loss = 246.259, accuracy = 0.990
3950 step, loss = 447.059, accuracy = 0.970
3960 step, loss = 212.659, accuracy = 0.980
3970 step, loss = 616.863, accuracy = 0.980
3980 step, loss = 380.610, accuracy = 0.970
3990 step, loss = 554.801, accuracy = 0.950
4000 step, loss = 184.304, accuracy = 0.980
4010 step, loss = 1195.995, accuracy = 0.950
4020 step, loss = 362.717, accuracy = 0.990
4030 step, loss = 1399.734, accuracy = 0.950
4040 step, loss = 473.994, accuracy = 0.970
4050 step, loss = 870.705, accuracy = 0.960
4060 step, loss = 435.260, accuracy = 0.970
4070 step, loss = 492.282, accuracy = 0.960
4080 step, loss = 790.126, accuracy = 0.960
4090 step, loss = 229.697, accuracy = 0.970
4100 step, loss = 513.188, accuracy = 0.960
4110 step, loss = 983.634, accuracy = 0.950
4120 step, loss = 1265.553, accuracy = 0.930
4130 step, loss = 271.223, accuracy = 0.990
4140 step, loss = 82.339, accuracy = 1.000
4150 step, loss = 801.633, accuracy = 0.970
4160 step, loss = 419.531, accuracy = 0.960
4170 step, loss = 678.661, accuracy = 0.940
4180 step, loss = 622.554, accuracy = 0.970
4190 step, loss = 740.591, accuracy = 0.950
4200 step, loss = 324.089, accuracy = 0.970
4210 step, loss = 362.665, accuracy = 0.980
4220 step, loss = 899.400, accuracy = 0.960
4230 step, loss = 305.681, accuracy = 0.980
4240 step, loss = 782.284, accuracy = 0.970
4250 step, loss = 1030.760, accuracy = 0.960
4260 step, loss = 540.678, accuracy = 0.970
4270 step, loss = 847.146, accuracy = 0.980
4280 step, loss = 1310.802, accuracy = 0.960
4290 step, loss = 916.351, accuracy = 0.950
4300 step, loss = 314.454, accuracy = 0.960
4310 step, loss = 433.667, accuracy = 0.980
4320 step, loss = 344.404, accuracy = 0.980
4330 step, loss = 947.570, accuracy = 0.960
4340 step, loss = 220.408, accuracy = 0.980
4350 step, loss = 408.309, accuracy = 0.970
4360 step, loss = 356.256, accuracy = 0.980
4370 step, loss = 240.232, accuracy = 0.990
4380 step, loss = 414.015, accuracy = 0.980
4390 step, loss = 356.569, accuracy = 0.970
4400 step, loss = 1010.962, accuracy = 0.950
4410 step, loss = 521.219, accuracy = 0.970
4420 step, loss = 275.643, accuracy = 0.990
4430 step, loss = 476.093, accuracy = 0.990
4440 step, loss = 853.050, accuracy = 0.970
4450 step, loss = 337.747, accuracy = 1.000
4460 step, loss = 551.483, accuracy = 0.970
4470 step, loss = 352.970, accuracy = 0.990
4480 step, loss = 192.017, accuracy = 0.990
4490 step, loss = 296.226, accuracy = 0.980
4500 step, loss = 695.729, accuracy = 0.950
4510 step, loss = 464.953, accuracy = 0.980
4520 step, loss = 566.768, accuracy = 0.960
4530 step, loss = 348.904, accuracy = 0.980
4540 step, loss = 737.247, accuracy = 0.970
4550 step, loss = 430.102, accuracy = 0.960
4560 step, loss = 318.766, accuracy = 0.990
4570 step, loss = 342.635, accuracy = 1.000
4580 step, loss = 604.514, accuracy = 0.970
4590 step, loss = 281.038, accuracy = 0.980
4600 step, loss = 385.337, accuracy = 0.960
4610 step, loss = 201.013, accuracy = 0.990
4620 step, loss = 676.580, accuracy = 0.970
4630 step, loss = 375.935, accuracy = 0.990
4640 step, loss = 805.879, accuracy = 0.980
4650 step, loss = 385.257, accuracy = 0.970
4660 step, loss = 1288.024, accuracy = 0.920
4670 step, loss = 845.937, accuracy = 0.960
4680 step, loss = 568.284, accuracy = 0.970
4690 step, loss = 318.468, accuracy = 0.980
4700 step, loss = 305.252, accuracy = 0.980
4710 step, loss = 519.238, accuracy = 0.950
4720 step, loss = 449.497, accuracy = 0.970
4730 step, loss = 780.195, accuracy = 0.980
4740 step, loss = 115.419, accuracy = 0.990
4750 step, loss = 478.946, accuracy = 0.980
4760 step, loss = 474.807, accuracy = 0.960
4770 step, loss = 768.227, accuracy = 0.970
4780 step, loss = 309.268, accuracy = 1.000
4790 step, loss = 173.877, accuracy = 0.990
4800 step, loss = 600.629, accuracy = 0.940
4810 step, loss = 513.693, accuracy = 0.980
4820 step, loss = 810.940, accuracy = 0.940
4830 step, loss = 425.089, accuracy = 0.970
4840 step, loss = 442.264, accuracy = 0.970
4850 step, loss = 342.340, accuracy = 0.990
4860 step, loss = 1178.917, accuracy = 0.950
4870 step, loss = 296.200, accuracy = 0.980
4880 step, loss = 431.778, accuracy = 0.990
4890 step, loss = 162.221, accuracy = 0.990
4900 step, loss = 740.601, accuracy = 0.980
4910 step, loss = 585.050, accuracy = 0.980
4920 step, loss = 338.436, accuracy = 0.960
4930 step, loss = 553.360, accuracy = 0.990
4940 step, loss = 664.198, accuracy = 0.980
4950 step, loss = 489.572, accuracy = 0.970
4960 step, loss = 629.172, accuracy = 0.960
4970 step, loss = 855.302, accuracy = 0.960
4980 step, loss = 459.172, accuracy = 0.980
4990 step, loss = 335.005, accuracy = 0.980
5000 step, loss = 288.546, accuracy = 0.980
accuracy = 0.974
